11,Star Search!,02/07/1978,"Han Solo and Chewbacca leave  Aduba-3  in the  Millennium Falcon , only to be captured once again by  Crimson Jack  and his gang of pirates.  Princess   Leia Organa  had also been captured by the pirate while on her way to the  Drexel system  to find out what happened to Luke Skywalker, and Jack intended to hold the princess for ransom. Han and Leia secretly devise a ruse to trick the pirates into taking them to the Drexel system by claiming that the  Rebels  have stockpiled a treasure there. While suspicious of Solo's plan, Jack's greed gets the better of him, and he decides to trust the Rebels for the time being."
12,Doomworld!,03/14/1978,"Luke Skywalker and the  droids   C-3PO  and  R2-D2  are stranded on the  water  world Drexel. While floating in their  escape pod , they are caught in the middle of a battle between the  sea-dragons , ridden by the  Dragon Lords , and the  hydra craft ,  piloted  by  Governor   Quarg 's men. The combatants are battling for the prize of Luke's wrecked ship, as anything mechanical is a rare commodity on the  ocean -covered  planet . The battle ends in a standoff, but Luke and the droids are captured by the skimmer pilots and brought back to their base, where Luke tries to convince Quarg that the droids would be more useful to them intact than stripped down for parts."
13,Day of the Dragon Lords!,04/11/1978,"On  Drexel ,  Luke Skywalker  decides to join  Governor   Quarg 's group in their battle against the  Dragon Lords , at least for the time being. Meanwhile aboard  Crimson Jack's  space cruiser,  Han Solo  is trying to talk his way out of trouble when Jack and his crew realize that they have been duped into coming to Drexel. But Quarg's jamming equipment on the planet's surface causes a disruption on the space cruiser, which is enough of a diversion to allow Solo,  Chewbacca , and  Princess   Leia Organa  to escape in the  Millennium Falcon  to the surface below. The  Falcon  splashes onto the water covered surface of Drexel, right in the middle of an epic battle between Quarg's men, piloting  hydra craft , and the Dragon Lords. One of the hydra craft attacks the  Falcon  just as its occupants are exiting from its top hatch. Luke, who is also piloting a hydra craft in the battle, immediately turns on his new comrades and rushes to save the fallen  Rebels . He finds only Chewbacca, who, thinking Luke was responsible for the attack, becomes enraged at the young Rebel."
14,The Sound of Armageddon!,05/09/1978,"On the water world of  Drexel ,  Governor   Quarg  has used his sonic jammer to cause the  Millennium Falcon  to crash into the water near his giant  city-ship .  Han  is believed dead, while  Luke Skywalker ,  Chewbacca , and the  droids  are imprisoned inside of Quarg's galleon. Quarg has simultaneously been waging a war against the  Dragon Lords  who even now attack his ship, riding atop giant  sea-dragons ."
15,Star Duel!,06/27/1978,"With  Governor   Quarg   killed  and  his   jamming equipment  disabled,  Crimson Jack's   battlecruiser  is fully operational and waiting for Han Solo and the  Millennium Falcon  to leave the surface of  Drexel  so Jack can exact some revenge.  Jolli  engages in a  dogfight  with the  Falcon  which results in her  Y-wing  and the  Falcon  becoming disabled. Although Solo appears helpless as a result of the damage, he forces a personal exchange between himself and Jack when he reveals that  Chewbacca  erased Jack's  navigational charts  while on board his  cruiser . Meanwhile, Jolli requests assistance because of damage sustained in the earlier battle, but Jack dismisses her, focusing instead on how to get back at Solo. Angered by Jack's response, Jolli fires on her former allies and rams her  ship  into the battlecruiser, killing the crew and herself. While Jack survives the blast, he is still bent on killing Solo, but in the final duel between the two, Solo ends up killing the  red - bearded  pirate with a  blaster ."
16,The Hunter!,07/25/1978,"Beilert Valance , bounty hunter and  droid  hater, leads his  mercenary  gang on a merciless attack of  Anglebay Station  on  Telos IV . There, they find  Don-Wan Kihotay , who recounts his adventure with the  Star-Hoppers of Aduba-3 . The gang mistakes the Star-Hoppers for the group of  Rebels  who destroyed the  Death Star , thinking the young  farm  boy  Jimm Doshun  is actually Luke Skywalker. Thinking of the huge reward for capturing the boy who destroyed the  Empire's  greatest  weapon , as well as the personal enjoyment of punishing someone who favors droids, Valance immediately sets off to find the boy.  Jaxxon  and  Amaiza Foxtrain  find out about his plan and go to  Aduba-3  to warn Jimm that the bounty hunters are after him. A battle ensues when the gang arrives, and most of them are  killed  during the fight with the three Star-Hoppers. It is only then that Valance, the lone survivor of his gang, realizes that he was after the wrong boy the whole time, but he escapes by using the  blaster  built into his  cybernetic  arm, taking the others by surprise and leaving the  planet  in his  ship   Kill Switch ."
17,Crucible,08/22/1978,"While  Luke Skywalker  is piloting the  Millennium Falcon  through space, his mind flashes back to his life back on  Tatooine . Luke,  Biggs Darklighter ,  Deak , and other youngsters race their  T-16 skyhoppers  through the twisting maze of  Beggar's Canyon  when a wounded scout arrives to warn them of an impending attack by the  Sandpeople . While the others try to hold off the attacks, Luke and Biggs rush off to warn the other residents of the area of the danger. Biggs is wounded by a Tusken Raider, and Luke has to take him in his skyhopper through the dangerous caverns of  Diablo Cut  to get him to safety."
18,The Empire Strikes!,09/26/1978,"While training on board the  Millennium Falcon , Luke Skywalker falls into a deep and mysterious trance. As  Han Solo ,  Leia Organa , and  Chewbacca   pilot  the  Falcon  toward medical help, they stumble across the remains of a  House of Tagge   merchant   ship . They discover a surviving  Rebel soldier  who tells them that the Tagge ship was actually attacked by  Imperials , but it was made to look like  Rebels  had destroyed the craft. The Imperial  cruiser  of  Commander   Strom  soon arrives on the scene intending to capture the  Falcon  and her crew, but Han pilots their escape to the relative safety of  the Wheel . Strom sends his troops to follow, but is soon contacted by the Wheel's administrator  Simon Greyshade , who reminds the Imperial commander that the Wheel is supposed to be free of interference from the Empire. Strom then claims that these Rebels are responsible for the attack on the House of Tagge ship which was carrying profits from the Wheel, at which point Greyshade relents and allows the Imperials onto the Wheel's lower levels to catch the Rebels."
19,The Ultimate Gamble,10/24/1978,"The crew of the  Millennium Falcon  have split up aboard the gambler's paradise known as  The Wheel . While the  droids   C-3PO  and  R2-D2  take the unconscious  Luke Skywalker  to the Wheel's medical center, the Wheel's administrator  Senator   Simon Greyshade  arranges to have  Princess   Leia  brought to his quarters. And  Chewbacca , having made his way to the  Crimson Casino  on the Wheel's upper level, is captured by members of the  Wheel Security Force  and forced to enter  The Big Game . In the meantime,  Han Solo  is also entered into The Big Game, not knowing that Chewbacca too is a contestant in the gladiatorial event. This has all been arranged by Greyshade, who is working out a deal with  Imperial   Commander   Strom  to have all of the Rebels meet an untimely end on the condition that Leia be allowed to stay with Greyshade on the Wheel."
20,Deathgame,11/21/1978,"As part of a plot to discredit the  Rebel Alliance ,  Senator   Simon Greyshade  sets up a scene where a pleasure yacht is attacked by an  X-wing  fighter only to be repelled by  Imperial   TIE fighters . The scene is broadcast into the casinos on  The Wheel  where the patrons watch in horror at the viciousness of the Rebels. Also part of Greyshade's scheme is to have  Han Solo  and  Chewbacca  each killed while playing in separate events of  The Big Game  gladiator contest, but Solo confounds him by defeating his powerful opponent much to everyone's surprise. Meanwhile, the  droids   R2-D2  and  C-3PO  have been appropriated by The Wheel, and are scheduled to have their memories wiped when  Master-Com  rescues them from their fate. The three droids then go to the medical center to see to  Luke Skywalker , only to find that not only has he regained consciousness but he has escaped."
21,Shadow of a Dark Lord,12/19/1978,"Princess   Leia  escapes from  Simon Greyshade's  suite, where she was held captive, and finds  Luke Skywalker , who has now recovered from his trance-like state. Luke reveals that his trance was caused by touching someone else's mind through  the Force  for a moment; someone strong with the Force who he suspects to be  Darth Vader . At the same time Greyshade is meeting with his new partner  Commander   Strom ,  The Wheel's  administrator who has secretly sent his  Wheel Security Force  to subdue Strom's troops and recover the money that they had stolen from The Wheel. And now that  Han Solo  is getting ready to enter the main event of  The Big Game  he realizes that  Chewbacca  is also entered in the contest, and according to the rules there can be only one survivor. Meanwhile on the planet  Ultaar ,  Darth Vader  finds the remains of a  Rebel  information retrieval team wiped out by the  bounty hunter   Beilert Valance . Vader realizes that Valance is searching for the same thing as himself: the boy who destroyed the  Death Star I . The race is on to see who finds him first."
22,To the Last Gladiator,01/23/1979,"Han Solo  and  Chewbacca  are involved in the main event of  The Big Game  along with many other gladiators, and the two team up against the rest of the combatants to stay alive. But they realize that, according to the rules, only one of them will be permitted to leave the game alive.  Simon Greyshade , who has been orchestrating events on  The Wheel , presents  Princess   Leia  with a proposition: escape with Greyshade and his stolen treasure and her  Rebel  friends will go free. As she contemplates her decision, she watches the main event with Han and Chewbacca, and witnesses Han apparently slain by his  Wookiee  companion."
23,Flight Into Fury,02/20/1979,"As  Simon Greyshade  and  Princess   Leia  prepare to leave  The Wheel ,  Commander   Strom , realizing that he has been betrayed by Greyshade, sends his  stormtroopers  to stop them. In the meantime Greyshade, tired of being upstaged by  Luke Skywalker's  noble actions, decides to allow Luke and Leia to leave with their  droids  on his ship while he stays behind to cover their escape. After they depart, Strom confronts the wounded Greyshade, intent on carrying out some revenge. Greyshade foils that as well by tossing a  proton grenade  in Strom's direction, killing him but also fatally wounding himself and critically damaging his droid  Master-Com . In the meantime,  Chewbacca  is leaving the main event of  The Big Game  with his partner  Han Solo , who, although seemingly getting killed in the event, now reveals himself to be perfectly healthy. The two make their way to the  Millennium Falcon  and leave The Wheel just in time to confront  Darth Vader's  battlecruiser. But Luke, while piloting the space yacht, stuns Vader through the use of  the Force  for just long enough for both  Rebel  craft to escape into  hyperspace ."
24,Silent Drifting,03/27/1979,"After  Han Solo  skillfully pilots the  Millennium Falcon  to destroy two  TIE fighters ,  Princess   Leia  mentions that  Jedi  pilots developed that same maneuver. She recounts one particular event involving  Obi-Wan Kenobi ."
25,Siege at Yavin!,,04/24/1979,"After their escape from  the Wheel ,  Princess   Leia  and  Luke Skywalker  arrive at  Centares  to trade in the  Spoilt Sport  for a more practical and less traceable  ship . As they leave the  planet , they discover that a  House of Tagge   Mining Explorer  is on its way to  Yavin . Knowing the Tagges' ties with the Empire and fearing for the security of the  Rebel  base on  Yavin 4 , they follow them and investigate further."
26,Doom Mission!,05/22/1979,"The Empire has set up a  blockade  of the  Gordian Reach   Sector  and Luke and Leia, on their way back to the  Rebel base  on  Yavin 4 , are ambushed by two Imperial  TIE fighters . Just as the situation appears hopeless, a  Rebel   X-wing  patrol arrives and destroys the two enemy  fighters ."
27,Return of the Hunter,06/26/1979,"The  bounty hunter   Beilert Valance  has come to the world of  Feriae Junction , where he shoots a  cantina  patron named  Marko Tyne  and then retreats to his agent,  Skinker , to collect the  bounty . Valance's payment is a collection of rebuilt  droids , which he melts into slag with several blasts from his weapon. Forced to live as a  cyborg  due to injuries sustained from an aerial torpedo, Valance has an irrational hatred of all droids and he hunts them down wherever he can find them. Valance's next mission is to find Luke Skywalker. Not only is Luke a droid-owner, but he also apparently treats them as equals, which Valance finds repulsive."
28,What Ever Happened to Jabba the Hut?,07/24/1979,"A rough re-entry of the  Millennium Falcon  from  hyperspace  prompts Han Solo and Chewbacca to land on the  Mid Rim  world  Orleon , a  smuggler's  hideout constantly besieged by rain. As Han and Chewbacca make repairs, the  Wookiee  notes that the cavern they had sheltered the  Falcon  in is leaking."
29,Dark Encounter,08/28/1979,"Darth Vader  discovers that  Tyler Lucian , a Rebel deserter, knows the name of the  Rebel  pilot who destroyed the  Death Star . The  bounty hunter   Beilert Valance  is on the trail of the same man but for a different reason, he wants to prevent Vader from learning the information he seeks. The two confront each other near Lucian's hideout at  Rubyflame Lake , and a terrific battle occurs between the two  cyborgs . Vader is victorious when Valance falls into the fatally corrosive lake waters allowing the dark lord to freely enter Lucian's hideout. But Lucian decides not to wait for Vader but instead jumps into Rubyflame Lake, killing himself and thwarting Vader's plans."
30,A Princess Alone,09/25/1979,"Princess   Leia Organa  travels to  Metalorn  on a mission to spread the message of hope to its residents. Metalorn, a factory  planet , has been completely controlled by the  Galactic Empire  under the direction of  Governor   Corwyth  with no information of the  Rebellion  reaching its citizens. Leia manages to evade Imperial  stormtroopers  long enough to contact her former instructor  Arn Horada  in order to have him spread the word that the Rebel Alliance is actively opposing the Empire's tyranny. She is quickly confronted by  Baron   Orman Tagge  before she is able to establish any details, but manages to escape with the help of a youngster named  Tammi ."
31,Return to Tatooine,10/23/1979,"Luke Skywalker  returns to  Tatooine  for the first time since leaving with  Obi-Wan Kenobi . His mission is to recruit  blockade runner   pilots  to help the  Rebel Alliance  evacuate their base on  Yavin 4 . However, while he is there he finds some clues to a secret plan of the  House of Tagge  working with the  Empire , but not enough to find out exactly what they are up to. He goes to  Mos Eisley  to continue his original mission, and reunites with  Han Solo  and  Chewbacca  in the same  cantina  where they had originally met  months  earlier. But the celebration is cut short as  Fixer  arrives to warn Luke that the Empire is aware that the young Rebel is on Tatooine and actively searching for him."
32,The Jawa Express,11/27/1979,"Han Solo ,  Luke Skywalker ,  Chewbacca , and the  droids  are stranded in the  Dune Sea  of  Tatooine  after fleeing Imperial  stormtroopers  from  Mos Eisley . They arrange a deal with some  Jawas  to travel with them in their  sandcrawler , and soon discover further evidence of the plans of the  House of Tagge  working in concert with the Empire to create a long range freezing mechanism, but the purpose of the technology still remains a mystery to the  Rebels . The Rebels elude their Imperial pursuers and head back to Mos Eisley."
33,Saber Clash,12/25/1979,"As the  Millennium Falcon  and her crew depart  Tatooine  they recognize a  House of Tagge   Mining Explorer  readying to jump to  hyperspace . The  Rebels  decide to follow them to  Feriae Junction  where the Mining Explorer meets with an  Imperial   battlecruiser . There the Tagges transfer their mysterious  Omega Frost  technology to the Imperial craft, and lure  Luke Skywalker  into a trap. With Luke captured,  Han Solo  pilots the  Falcon  to the Rebel base at  Yavin 4  to let them know that the Empire plans to use their Omega Frost weapon against Junction, a critical source of supplies for the Alliance. Back on the Mining Explorer Luke engages in a  lightsaber  duel with  Baron   Orman Tagge , and at first the elder Tagge toys with Luke, but soon realizes that the youth has more ability than he expected. Luke eventually defeats Tagge by destroying his cyber-vision and thus rendering him helpless, and heads back to the Rebel base to inform them of the true target of the Omega Frost weapon since the news that Han brought back was misinformation."
34,Thunder in the Stars,01/22/1980,"After his defeat at the hands of  Luke Skywalker  in a duel of  lightsabers ,  Baron   Orman Tagge  has gone into a state of shock and is kept under heavy sedation on the orders of his brother  Silas Tagge . While  Han Solo  is leading the  Rebel Fleet  to  Feriae Junction  under the impression that the  Omega Frost  is going to be unleashed on their supply planet. But that was a ruse, in reality the weapon is targeting the  Junction asteroid corridor  just as the fleet is to pass through it. Luke had escaped from the Tagges but his ship has been sabotaged and he is forced to abandon his craft before in crashes into one of the asteroids. With no way to warn the  Rebels  that they are entering into a trap, he finds and destroys one of the towers which generates the Omega Frost effect just as the Rebel fleet is entering the weapon's range. The fleet then changes course to attack the Tagges'  Mining Explorer  destroying the ship before Silas and Orman can escape."
35,Dark Lord's Gambit,02/26/1980,"Darth Vader  finally learns the name of the boy who destroyed the  Death Star I , and sets a plan in motion to get his revenge. He enlists the aid of  General   Ulric Tagge  as well as his younger sister Sister  Domina Tagge  to help him in the endeavor. Domina is a member of the  Order of the Sacred Circle  who have thus far remained neutral in the  Galactic Civil War , but that will soon change and each side in the conflict will send a single envoy to  Monastery  to present his case. Vader is to represent the  Galactic Empire  and Domina ensures that the  Rebels  would send  Luke Skywalker  as their representative. However,  Leia  and  Han  travel to the system in the  Millennium Falcon  and orbit Monastery and monitor Luke's activities through  R2-D2  who accompanied Luke on the mission. While Luke thinks he may be in over his head on this diplomatic mission, Domina reassures him even though her true intentions are revenge for Luke's involvement in the apparent death of  Orman Tagge ."
36,Red Queen Rising,03/25/1980,"The  Millennium Falcon  is captured by an  Imperial   battlecruiser  near  Monastery , but  Princess   Leia  causes a distraction on the cruiser allowing them to escape. But  Baron   Orman Tagge  has also broken free of the life support capsule on the cruiser, and hides himself aboard the  Falcon  before its escape from the Imperials. Meanwhile on Monastery,  Luke Skywalker  is preparing for his presentation before the elders in the  Temple of the Sacred Circle , but once he arrives  Domina Tagge  reveals to him that they have already decided against him. Luke objects and  Darth Vader  sees an opportunity to challenge the young  Rebel  to a duel of  lightsabers . But Domina surprises both of them by forbidding them from battling in the temple, instead she arranges for the duel to take place in the  Crystal Valley . At the end of the issue, it's revealed that she planned this duel from the beginning, and was manipulating both Luke and Vader. Her hope was that both combatants would destroy each other, so her family would eliminate not one but two rivals."
37,In Mortal Combat,04/22/1980,"Luke Skywalker  and  Darth Vader  enter the dangerous  Crystal Valley  as arranged by  Domina Tagge , her plan is to not only have Luke killed, but Vader as well since he was a long time rival of her brother  Baron   Orman Tagge . The  Millennium Falcon  arrives on the planet on the order of Baron Tagge, and he enters the Crystal Valley to confront Vader. Vader reveals to Orman that his sister is not as innocent as the eldest Tagge would believe and convinces him to duel Luke in Vader's place. Orman does so, but Vader makes a visual illusion so that Luke believes he is really fighting Vader. Luke kills Orman and escapes the Crystal Valley, and is reunited with his  Rebel  comrades."
38,Riders in the Void,05/27/1980,"Luke Skywalker  and  Princess   Leia  were on a mission to transport medical supplies for the  Rebellion  when an Imperial  Star Destroyer  attacked their craft. When they made the jump to  hyperspace , their damaged starship began to shake violently and Luke decided to drop back to sublight travel. Once they did, they realized that had traveled beyond their home galaxy and into the starless  void . The only visible 'star' turned out to be a  mysterious organic ship , which literally swallowed up their much smaller transport. Brought into something like a cargo hold, Luke and Leia disembarked to investigate. Suddenly the room was filled with the sound of mad laughter, and Luke and Leia were sucked into the floor, funneled down chutes into separate chambers, where they were attacked: Leia by tentacles sprouting from the floor, and Luke by a gold-skinned  droid  armed with a  lightsaber , which talked as if this was all a game."
39,The Empire Strikes Back: Beginning,06/24/1980,"The  Rebel Alliance  has established a new base on the ice planet called  Hoth , but an  Imperial   probe droid  discovers their location and transmits the data before it can be destroyed.  Luke Skywalker  has been attacked by one of the  Wampas  and is taken to the creatures cave, but Luke escapes from its custody and, with the help of  Han Solo , returns to  Echo Base .  Captain   Piett  receives the probe droid's signal and reports his findings to  Darth Vader  who immediately orders the fleet to the  Hoth system ."
40,The Empire Strikes Back: Battleground Hoth,07/22/1980,"At the medical center of  Echo Base  on  Hoth ,  Luke Skywalker  is recovering from wounds sustained from an attack by a  wampa  ice monster. A tender moment between  Princess   Leia  and him is briefly shared before  Han Solo  and  Chewbacca  enter to check on Luke's status. Leia and Han argue a bit and Leia kisses Luke in order to make Han jealous."
41,Imperial Pursuit!,08/26/1980,"Luke Skywalker  escapes from the downed  snowspeeder  just as the  AT-AT  approaches him. Grabbing a harpoon gun, he runs underneath the behemoth and fires the harpoon into the AT-AT's underside, and climbs up the rope and slices a hatch open with his  lightsaber . Throwing a  thermal detonator  inside the AT-AT, he succeeds in destroying the vehicle."
42,The Empire Strikes Back: To Be a Jedi,09/23/1980,"Luke Skywalker  watches as his recently landed  X-wing fighter  begins to slowly sink into the swamps of  Dagobah . He endeavors to set up camp until he meets a diminutive green gnome who unceremoniously begins rifling through his belongings. The gnome learns that Luke is looking for a  Jedi Master  named  Yoda  and volunteers to take him to him. They return to the gnome's dwelling and Luke begins to act impatient. It is revealed that the gnome is in fact, master Yoda. Yoda feels that Luke is too old and reckless to learn the ways of the Jedi, but the voice of  Obi-Wan Kenobi  encourages Yoda to train him. Yoda begins putting Luke through an extensive training period of physical and mental exercises. He pushes him to expand his knowledge and use of  the Force ."
43,The Empire Strikes Back: Betrayal at Bespin,10/28/1980,"Han Solo  and  Princess   Leia Organa  arrive at  Cloud City  hoping to find refuge with Solo's old friend  Lando Calrissian , but the  Galactic Empire  had arrived first and capture the  Rebels .  Darth Vader  tortures Solo in an effort to lure  Luke Skywalker  to  Bespin  and then proceeds to freeze the smuggler in  carbonite  to ensure the procedure would work for his true prize, Skywalker. Meanwhile, on  Dagobah ,  Yoda  is training Luke in the ways of  the Force , and the young  Jedi  has visions of his friends in pain in Cloud City. Luke decides to try to rescue them despite Yoda's objection."
44,The Empire Strikes Back: Duel a Dark Lord,11/25/1980,"Luke Skywalker  arrives in  Cloud City  and  R2-D2  and they begin looking for their friends.  Darth Vader  delivers the frozen body of  Han Solo  over to  Boba Fett  and instructs the  Ugnaught  workers to reset the  carbon-freezing  chamber for Skywalker. He then instructs his officers to have  Leia  and  Chewbacca  brought aboard his ship.  Lando Calrissian  fires back, claiming that part of the deal was that they would remain in the city. Vader venomously tells him that he is altering the deal."
45,Death Probe,12/23/1980,Imperial   Admiral   Damon Krell  sends a prototype  Infiltrator probe droid  on a direct course for a damaged  Rebel ship of the line . The Probe smashes through the ship's hull and begins slaughtering the entire crew. It attaches itself to the main power grid of the ship and takes command of all of the vessel's automated functions.
46,The Dreams of Cody Sunn-Childe,01/20/1981,"While  Lando Calrissian  and  Chewbacca  are on their way to rescue  Han Solo , the  Millennium Falcon  encounters problems while in  hyperspace  which causes them to enter another dimension. They come upon a mysterious floating city, and soon discover that the city is the psychic creation of the long lost  Rebel  hero  Cody Sunn-Childe . Sunn-Childe turned his back on his violent past years ago when he discovered this powerful mystical ability, and so created his  City of Dreams  to live with his friends in peace away from the  Galactic Civil War . Calrissian rejects Sunn-Childe's views claiming that there are times that violence is necessary and he proceeds to repair the  Falcon  to leave Sunn-Childe's paradise. But before he can depart a fleet of Imperial  Star Destroyer  attack the city after finding an opening in the dimensional fabric. Under the command of  Captain   Plikk , they drain their power in their attack on the city, and though Sunn-Childe could easily demolish the fleet with his power, he decides to hold to his pacifist beliefs and allow himself and his city to be destroyed. Calrissian leaves the Imperial fleet stranded in the other dimension as punishment for destroying Sunn-Childe's dream."
47,Droid World,02/24/1981,"The  Rebel Alliance  have captured a damaged new model of  Imperial warbot  on  Xeron  and decide to ask the assistance of the droid populated space station known as  Kligson's Moon  in repairing the droid so the Alliance technicians can study it.  Kligson  agrees to repair the droid, but  R2-D2  and  C-3PO  must accompany the warbot to observe the operation since Kligson intends to keep the droid after it's repaired. However, another droid on Kligson's moon has other ideas as the former Imperial  Z-X3 experimental droid trooper ,  Zee-Exthree , plans to use parts of the warbot to repair his own war droid and lead a revolt against Kligson. But Kligson had anticipated this and sent a decoy to lure the Zee-Exthree and his followers out into the open when he would launch his own warbot against them. With the battle over, R2-D2 and C-3PO record the schematics of the warbot and return to the Rebels, while Kligson moves his station from its current orbit to a more secret location where the Empire cannot find it."
48,The Third Law,,03/24/1981,"Princess  Leia Organa,  C-3PO ,  R2-D2 , and Rebellion finance minister  Viscount   Tardi  arrive on the banking world of  Aargau  to complete the financing of a sale of X-wing fighters to the Rebellion. Also on the planet is Darth Vader and his entourage of paid assassins specializing in unarmed combat as it is forbidden for non-citizens of Aargau to carry weapons."
49,The Last Jedi,04/21/1981,"Princess   Leia Organa ,  Luke Skywalker  and the  droids  take a  Y-wing fighter  to a jungle planet where they answer a beacon left behind by Prince  Denid  of  Velmor . Denid, his betrothed  Loren , and his friend  Jedidiah  crash-landed on this world years ago, a crash that claimed Loren's life. It is now imperative that he returns to Velmor to take the rite of succession or else his younger brother, an Imperial sympathizer, will gain control of the planet. Luke is surprised to find that Jedidiah, now addle-brained due to an injury, was once a potential  Jedi Knight ."
50,The Crimson Forever,05/19/1981,"Lando Calrissian  and  Chewbacca  pilot the  Millennium Falcon  from the site of a new  Imperial  base with  TIE fighters  in hot pursuit when a  Rebel Blockade Runner  fires into the TIEs' midst.  Leia  is on board the Runner, and compels Lando and Chewbacca to abandon their current search for  carbonite -frozen Han Solo in light of a greater threat to the  Rebel Alliance ."
